contract,trading_day,event_count,closed_by_opposing_event_count,stop_loss_count,unresolved_count,closed_by_opposing_event_rate,stop_loss_rate,unresolved_rate,average_R,total_R,expectancy_R
NQM21-CME,2021-04-08,10875,7768,3107,0,0.7142988505747127,0.28570114942528735,0.0,-0.07277243894850066,-791.4002735649448,-0.07277243894850066
NQM21-CME,2021-04-11,10269,7438,2831,0,0.7243159022300126,0.2756840977699873,0.0,-0.05099322109065474,-523.6493873799335,-0.05099322109065474
NQM21-CME,2021-04-12,9869,7045,2824,0,0.7138514540480292,0.2861485459519708,0.0,-0.09299732374976699,-917.7905880864505,-0.09299732374976699
NQM21-CME,2021-04-13,13512,9745,3767,0,0.721210775606868,0.27878922439313203,0.0,-0.021362152293106444,-288.6454017844543,-0.021362152293106444
NQM21-CME,2021-04-14,10257,7400,2857,0,0.7214585161353222,0.2785414838646778,0.0,-0.07871307535318538,-807.3600138976224,-0.07871307535318538
NQM21-CME,2021-04-15,10212,7364,2848,0,0.7211124167645907,0.2788875832354093,0.0,-0.09364657257341234,-956.3187991196869,-0.09364657257341234
NQM21-CME,2021-04-18,14513,10493,4020,0,0.7230069592778888,0.27699304072211123,0.0,-0.033144887595005876,-481.0317536663203,-0.033144887595005876
NQM21-CME,2021-04-19,15600,11267,4333,0,0.7222435897435897,0.27775641025641024,0.0,-0.02031365326999275,-316.8929910118869,-0.02031365326999275
NQM21-CME,2021-04-20,11603,8424,3179,0,0.7260191329828493,0.27398086701715074,0.0,-0.031314009334860976,-363.3364503123919,-0.031314009334860976
NQM21-CME,2021-04-21,16429,11810,4619,0,0.7188508125874977,0.2811491874125023,0.0,-0.035008829990829396,-575.1600679193361,-0.035008829990829396
NQM21-CME,2021-04-22,9050,6507,2543,0,0.7190055248618784,0.28099447513812154,0.0,-0.09851304527899764,-891.5430597749287,-0.09851304527899764
NQM21-CME,2021-04-25,8913,6391,2522,0,0.7170425221586447,0.28295747784135533,0.0,-0.08344017100513137,-743.7022441687359,-0.08344017100513137
NQM21-CME,2021-04-26,9686,6930,2756,0,0.7154656204831716,0.2845343795168284,0.0,-0.06383934569167565,-618.3479023695704,-0.06383934569167565
NQM21-CME,2021-04-27,11661,8268,3393,0,0.7090301003344481,0.2909698996655518,0.0,-0.07430149490947106,-866.4297321393421,-0.07430149490947106
NQM21-CME,2021-04-28,14142,10013,4129,0,0.7080328100692971,0.29196718993070286,0.0,-0.07264457334956369,-1027.3395563095296,-0.07264457334956369
NQM21-CME,2021-04-29,13464,9669,3795,0,0.7181372549019608,0.2818627450980392,0.0,-0.07407337273725433,-997.3238905343921,-0.07407337273725433
NQM21-CME,2021-05-02,11022,7832,3190,0,0.7105788423153693,0.2894211576846307,0.0,-0.0948865360390889,-1045.8394002228379,-0.0948865360390889
NQM21-CME,2021-05-03,17348,12503,4845,0,0.7207170855430021,0.27928291445699793,0.0,-0.006656763611516712,-115.48153513259192,-0.006656763611516712
NQM21-CME,2021-05-04,12858,9229,3629,0,0.717763260227096,0.28223673977290403,0.0,-0.007284986143712212,-93.67035183585162,-0.007284986143712212
NQM21-CME,2021-05-05,16692,12027,4665,0,0.7205248023005032,0.27947519769949675,0.0,-0.020744763431234162,-346.27159119416064,-0.020744763431234162
NQM21-CME,2021-05-06,15110,10871,4239,0,0.7194573130377233,0.28054268696227663,0.0,-0.024438401433522588,-369.2642456605263,-0.024438401433522588
NQM21-CME,2021-05-09,15320,11030,4290,0,0.7199738903394256,0.2800261096605744,0.0,0.010913927327534262,167.2013666578249,0.010913927327534262
NQM21-CME,2021-05-10,25175,18314,6861,0,0.72746772591857,0.27253227408143,0.0,0.010593244901641692,266.6849403988296,0.010593244901641692
NQM21-CME,2021-05-11,26006,19054,6952,0,0.7326770745212643,0.26732292547873565,0.0,0.0030960430662685693,80.51569598138042,0.0030960430662685693
NQM21-CME,2021-05-12,22990,16754,6236,0,0.7287516311439757,0.2712483688560244,0.0,-0.010727334008797015,-246.62140886224336,-0.010727334008797015
NQM21-CME,2021-05-13,13194,9635,3559,0,0.7302561770501743,0.2697438229498257,0.0,-0.05584977366369025,-736.8819137187292,-0.05584977366369025
NQM21-CME,2021-05-16,16023,11686,4337,0,0.7293265930225301,0.2706734069774699,0.0,-0.013715132793886768,-219.7575727564477,-0.013715132793886768
NQM21-CME,2021-05-17,12244,8791,3453,0,0.717984318850049,0.282015681149951,0.0,-0.04682082315377354,-573.2741586948032,-0.04682082315377354
NQM21-CME,2021-05-18,23416,17067,6349,0,0.7288606081311924,0.27113939186880764,0.0,-0.042943902415416055,-1005.5744189593823,-0.042943902415416055
NQM21-CME,2021-05-19,11436,8141,3295,0,0.7118747813920951,0.28812521860790485,0.0,-0.08532241516157586,-975.7471397877816,-0.08532241516157586
NQM21-CME,2021-05-20,12731,9051,3680,0,0.7109417956169979,0.2890582043830021,0.0,-0.07155493523371996,-910.9658804604887,-0.07155493523371996
NQM21-CME,2021-05-23,8368,6033,2335,0,0.7209608030592735,0.2790391969407266,0.0,-0.09663929938277163,-808.677657235033,-0.09663929938277163
NQM21-CME,2021-05-24,11053,7865,3188,0,0.7115715190446033,0.28842848095539675,0.0,-0.05960193758807142,-658.7802161609534,-0.05960193758807142
NQM21-CME,2021-05-25,8112,5867,2245,0,0.7232495069033531,0.27675049309664695,0.0,-0.07219242071638515,-585.6249168513164,-0.07219242071638515
NQM21-CME,2021-05-26,9713,6974,2739,0,0.7180067950169875,0.28199320498301245,0.0,-0.0440974070078786,-428.31811426752483,-0.0440974070078786
NQM21-CME,2021-05-27,6997,5014,1983,0,0.7165928254966414,0.28340717450335856,0.0,-0.15759374395228729,-1102.6834264341542,-0.15759374395228729
NQM21-CME,2021-05-30,1635,1134,501,0,0.6935779816513762,0.30642201834862387,0.0,-0.19725829288447866,-322.5173088661226,-0.19725829288447866
NQM21-CME,2021-05-31,8952,6307,2645,0,0.7045352993744415,0.2954647006255585,0.0,-0.11284334626631273,-1010.1736357760316,-0.11284334626631273
NQM21-CME,2021-06-01,8227,5913,2314,0,0.7187310076577124,0.2812689923422876,0.0,-0.07201809852060494,-592.4928965290168,-0.07201809852060494
NQM21-CME,2021-06-02,12541,9077,3464,0,0.7237859819791085,0.27621401802089146,0.0,-0.05357079165200158,-671.8312981077518,-0.05357079165200158
NQM21-CME,2021-06-03,9241,6597,2644,0,0.7138837788118169,0.2861162211881831,0.0,-0.08691134903208973,-803.1477764055412,-0.08691134903208973
NQM21-CME,2021-06-06,8464,6046,2418,0,0.7143194706994329,0.2856805293005671,0.0,-0.02490202124338501,-210.77070780401073,-0.02490202124338501
NQM21-CME,2021-06-07,10669,7656,3013,0,0.7175930265254475,0.28240697347455246,0.0,-0.06782963656278641,-723.6743924883683,-0.06782963656278641
NQM21-CME,2021-06-08,8312,6009,2303,0,0.7229307025986526,0.27706929740134745,0.0,-0.03322084304235228,-276.13164736803213,-0.03322084304235228
NQM21-CME,2021-06-09,11194,8095,3099,0,0.7231552617473647,0.27684473825263534,0.0,-0.08745081813013353,-978.9244581487147,-0.08745081813013353
NQM21-CME,2021-06-10,5401,3932,1469,0,0.7280133308646547,0.2719866691353453,0.0,0.031008399930733933,167.47636802589398,0.031008399930733933
NQM21-CME,2021-06-13,4063,2967,1093,3,0.7302485847895643,0.2690130445483633,0.0007383706620723603,-0.018180844895616784,-73.81423027620414,-0.018180844895616784
NQU21-CME,2021-06-14,7330,5273,2057,0,0.7193724420190996,0.2806275579809004,0.0,-0.0243140713995256,-178.22214335852266,-0.0243140713995256
NQU21-CME,2021-06-15,13359,9620,3739,0,0.7201137809716296,0.2798862190283704,0.0,-0.0883481433198032,-1180.242846609251,-0.0883481433198032
NQU21-CME,2021-06-16,13837,10112,3725,0,0.7307942473079425,0.26920575269205754,0.0,-0.020711957077937278,-286.5913500874181,-0.020711957077937278
NQU21-CME,2021-06-17,16022,11509,4513,0,0.7183248033953314,0.28167519660466855,0.0,-0.0382525603802291,-612.8825224120307,-0.0382525603802291
NQU21-CME,2021-06-20,12765,9190,3575,0,0.7199373286329808,0.2800626713670192,0.0,-0.01759201051515416,-224.56201422594285,-0.01759201051515416
NQU21-CME,2021-06-21,9153,6533,2620,0,0.7137550529880914,0.28624494701190867,0.0,-0.04235623506235972,-387.6866195257785,-0.04235623506235972
NQU21-CME,2021-06-22,7844,5687,2157,0,0.7250127485976543,0.27498725140234576,0.0,-0.07380148374685921,-578.8988385103637,-0.07380148374685921
NQU21-CME,2021-06-23,7350,5172,2178,0,0.7036734693877551,0.2963265306122449,0.0,-0.15768543256051795,-1158.9879293198069,-0.15768543256051795
NQU21-CME,2021-06-24,7330,5293,2037,0,0.7221009549795362,0.27789904502046386,0.0,-0.07094704976464337,-520.041874774836,-0.07094704976464337
